Title: The Influential Effect of Blending, Bump, Changing 
       Period, and Eclipsing Cepheids on the Leavitt Law  
Authors: Garcia-Varela A., Munoz J.R., Sabogal B.E., 
         Vargas Dominguez S., Martinez J.
Table: Bi-dimensional classification of OGLE-II Magellanic Clouds Cepheids
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label   Explanations
--------------------------------------------------------------------------------
   1-  2 I2     h      RAh     Hour of Right Ascension (J2000)
   4-  5 I2     min    RAm     Minute of Right Ascension (J2000)
   7- 11 F5.2   s      RAs     Second of Right Ascension (J2000)
  13- 13 A1     ---    DE-     Sign of the Declination (J2000)
  14- 15 I2     deg    DEd     Degree of Declination (J2000)
  17- 18 I2     arcmin DEm     Arcminude of Declination (J2000)
  20- 23 F4.1   arcsec DEs     Arcsecond of Declination (J2000)
  25- 32 A8     ---    OGLE    THe OGLE-II field (1)
  34- 39 I6     ---    ID      THe OGLE-II identifier
  41- 48 F8.5   d      Period  Period 
  50- 52 A3     ---    Class   The bi-dimensional class (2)
--------------------------------------------------------------------------------
Note (1): These data were reported for the LMC by 
          Udalski et al. (1999a) [1999AcA....49..223U], and for the SMC by 
          Udalski et al. (1999b) [1999AcA....49..437U].
Note (2): An appended "i" identifies the influential Cepheids.
--------------------------------------------------------------------------------
00 44 53.13 -73 16 01.2 SMC-SC3  198018  1.58062 B2 
00 44 53.67 -73 17 23.1 SMC-SC3  197915  9.14502 C1i
00 44 54.12 -73 26 16.2 SMC-SC3  189129  8.67071 C1i
00 45 00.40 -73 15 02.7 SMC-SC3  202785  2.74444 B2 
00 45 01.50 -73 12 31.0 SMC-SC3  202766  4.34088 B1 
00 45 03.56 -73 15 16.1 SMC-SC3  202734  4.51151 B1 
00 45 03.66 -73 18 27.2 SMC-SC3  197911 10.4868  C1i
00 45 04.29 -73 10 11.4 SMC-SC3  208529  2.19605 B1 
00 45 04.78 -72 59 03.9 SMC-SC3  221614  1.73213 B2 
00 45 04.98 -72 56 10.7 SMC-SC3  226093  1.67881 B1 
00 45 05.84 -73 19 26.9 SMC-SC3  198021  1.64819 B2 
00 45 06.15 -73 17 18.1 SMC-SC3  198087  1.68551 B2i
00 45 06.26 -73 09 10.3 SMC-SC3  208570  1.24114 B2 
00 45 06.78 -72 54 50.0 SMC-SC3  226219  1.42663 B2 
00 45 08.93 -72 58 01.5 SMC-SC3  226065  1.72137 B2 
00 45 10.15 -73 18 57.3 SMC-SC3  197972  1.8591  B2 
00 45 11.77 -73 27 06.4 SMC-SC3  185073  1.24404 B1 
00 45 12.47 -72 57 36.1 SMC-SC3  226072  1.77932 B2 
00 45 12.67 -73 11 46.2 SMC-SC3  208462  1.71896 B3i
00 45 13.26 -73 15 00.2 SMC-SC3  202853  2.5992  B1i
00 45 13.50 -72 48 38.3 SMC-SC3  234693  1.24001 B2 
00 45 14.56 -73 29 26.0 SMC-SC3  184987  1.59255 B2 
00 45 14.65 -73 12 37.1 SMC-SC3  202765  4.50592 B1 
00 45 16.37 -72 53 19.6 SMC-SC3  230499  1.91477 B1 
00 45 18.13 -73 08 12.8 SMC-SC3  213197  1.86927 B2 
00 45 18.72 -73 29 21.8 SMC-SC3  184934  2.29836 B1 
00 45 19.49 -73 13 29.9 SMC-SC3  202913  1.93489 B1 
00 45 19.98 -73 33 54.7 SMC-SC3  178269  1.6175  B2 
00 45 19.98 -73 33 54.7 SMC-SC4      62  1.61756 B2 
00 45 21.83 -73 18 26.1 SMC-SC4   11348  1.54752 B2 
00 45 21.85 -73 18 26.1 SMC-SC3  198055  1.54745 B1 
00 45 23.41 -73 13 12.4 SMC-SC4   18836  1.43799 B2i
00 45 23.42 -73 13 12.4 SMC-SC3  202810  1.43797 B2 
00 45 23.51 -73 02 13.0 SMC-SC3  217715  1.45733 B2 
00 45 23.66 -72 59 07.2 SMC-SC3  221613  1.82522 B2 
00 45 24.63 -73 02 57.8 SMC-SC3  217694  1.57688 B2 
00 45 24.63 -73 02 57.9 SMC-SC4   29283  1.57688 B2 
00 45 25.04 -73 15 54.5 SMC-SC4   14944  1.21115 B3i
00 45 25.05 -73 15 54.7 SMC-SC3  202971  1.2111  B3i
00 45 25.15 -73 11 45.8 SMC-SC4   18792  3.91113 B2 
00 45 25.16 -73 11 45.9 SMC-SC3  208364  3.91101 B1 
00 45 25.23 -73 08 51.8 SMC-SC4   22703  1.68695 B2 
00 45 25.23 -73 08 51.9 SMC-SC3  213116  1.68691 B3 
00 45 30.49 -73 06 48.5 SMC-SC3  213150  2.24357 B1 
00 45 30.50 -73 06 48.5 SMC-SC4   26050  2.24353 B1 
00 45 35.22 -73 25 29.0 SMC-SC3  189247  1.28523 B2 
00 45 35.22 -73 25 29.0 SMC-SC4    5277  1.2853  B2 
00 45 36.14 -73 22 00.1 SMC-SC4    8523  1.58978 B2i
00 45 38.42 -73 02 31.8 SMC-SC4   29292  1.82144 B1 
00 45 38.62 -73 14 52.5 SMC-SC4   14937  1.7153  B2i
00 45 38.95 -72 55 49.4 SMC-SC4   35704  1.56414 B2 
00 45 39.85 -72 52 52.9 SMC-SC4   38956  1.26389 B2 
00 45 40.35 -73 34 15.9 SMC-SC4      58  2.15394 B1 
00 45 41.57 -73 12 54.2 SMC-SC4   18845  1.84247 B1 
00 45 42.42 -73 18 14.6 SMC-SC4   11354  2.10623 B2 
00 45 42.73 -72 52 39.7 SMC-SC4   38887  1.91467 B1 
00 45 43.84 -73 23 54.6 SMC-SC4    8213  8.84926 C1 
00 45 45.85 -73 32 14.3 SMC-SC4      84  1.50491 B2 
00 45 47.67 -72 53 18.9 SMC-SC4   38857  1.63449 B2 
00 45 51.12 -73 06 56.0 SMC-SC4   26095  1.71492 B2 
00 45 52.86 -72 59 36.0 SMC-SC4   32504  1.92764 B2 
00 45 52.90 -72 53 33.9 SMC-SC4   35959  0.96536 B2 
00 45 53.75 -73 09 14.9 SMC-SC4   22698  2.26882 B2 
00 45 55.64 -73 30 22.6 SMC-SC4    2200  8.03958 C1 
00 45 56.07 -73 09 44.4 SMC-SC4   22683  1.84709 B2 
00 45 56.40 -73 10 00.4 SMC-SC4   22619  5.63863 B1 
00 45 56.73 -73 10 44.7 SMC-SC4   22764  1.26986 B2i
00 45 57.76 -72 55 16.6 SMC-SC4   35657  2.29921 B2i
00 45 59.09 -73 21 40.9 SMC-SC4    8541  1.20675 B2i
00 45 59.13 -73 10 17.7 SMC-SC4   22663  2.12377 B2 
00 45 59.76 -72 51 19.6 SMC-SC4   38845  3.56974 B1 
00 46 00.25 -72 55 33.0 SMC-SC4   35713  2.07505 B1 
00 46 02.35 -73 06 54.5 SMC-SC4   26096  1.7293  B2 
00 46 03.75 -73 05 24.9 SMC-SC4   26068  2.45921 B1 
00 46 03.80 -73 03 56.1 SMC-SC4   29257  1.8966  B1 
00 46 04.08 -72 47 26.6 SMC-SC4   41965  1.86388 B1 
00 46 04.26 -73 08 48.0 SMC-SC4   22705  1.70312 B2 
00 46 04.30 -73 27 12.9 SMC-SC4    5245  2.12521 B1 
00 46 05.02 -73 19 13.7 SMC-SC4   11250  5.66227 C1 
00 46 06.86 -72 40 55.0 SMC-SC4   47131  1.15454 B2 
00 46 07.69 -73 35 21.4 SMC-SC4   49178  3.68319 B2 
00 46 07.72 -73 27 36.1 SMC-SC4    5238  2.96573 B2 
00 46 09.08 -73 24 41.8 SMC-SC4   56826  1.84463 B2 
00 46 11.93 -73 07 47.4 SMC-SC4   71616  2.29429 B1 
00 46 12.29 -72 44 08.9 SMC-SC4   94433  0.95084 B3i
00 46 12.43 -73 23 41.3 SMC-SC4   56758  8.49275 C1 
00 46 15.70 -73 14 24.4 SMC-SC4   67172  4.98792 B1 
00 46 17.11 -73 19 30.1 SMC-SC4   60168  2.06415 B2 
00 46 17.39 -73 07 33.0 SMC-SC4   71623  1.74003 B1 
00 46 18.81 -73 07 15.4 SMC-SC4   75288  2.29777 B2 
00 46 18.84 -72 57 43.0 SMC-SC4   82063  2.00789 B2 
00 46 19.98 -73 16 59.4 SMC-SC4   63473  1.55152 B2 
00 46 21.29 -73 31 02.4 SMC-SC4   51383  1.66794 B2 
00 46 22.81 -72 56 08.3 SMC-SC4   85269  2.01    B1 
00 46 24.06 -73 29 15.2 SMC-SC4   51413  1.86099 B1 
00 46 27.74 -72 53 56.6 SMC-SC4   85312  1.97035 B1 
00 46 28.81 -73 23 06.1 SMC-SC4   57046  2.07598 B2i
00 46 29.99 -73 02 04.1 SMC-SC4   78760  1.72263 B2 
00 46 30.05 -73 22 57.0 SMC-SC4   57059  1.8427  B2i
00 46 30.52 -73 19 22.1 SMC-SC4   60176  1.65193 B2 
00 46 30.90 -72 49 43.0 SMC-SC4   91606  2.13478 B2 
00 46 31.22 -73 07 09.0 SMC-SC4   75290  2.12923 B2 
00 46 31.54 -73 18 58.5 SMC-SC4   60346  1.53208 B1 
00 46 32.05 -72 55 32.8 SMC-SC4   85281  1.96174 B1 
00 46 32.27 -73 12 33.1 SMC-SC4   67292  1.28943 B2 
00 46 34.64 -73 02 01.6 SMC-SC4   78612  1.66229 B1 
00 46 34.89 -73 14 20.8 SMC-SC4   67230  1.71558 B2 
00 46 35.06 -73 06 43.2 SMC-SC4   75252  6.01123 C1i
00 46 35.21 -73 10 26.6 SMC-SC4   71543  1.89223 B2 
00 46 37.51 -73 12 14.1 SMC-SC4   67304  1.56692 B1 
